"","SpecCode","Genus","Subfamily","Brack","Saltwater","DemersPelag","Species","Family","Order","Class","SuperClass"
"137",4750,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus blochii","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"138",943,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus chirurgus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"139",6010,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus chronixis","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"140",944,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus coeruleus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"141",1256,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus dussumieri","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"142",60866,"Aioliops","Ptereleotrinae",0,1,"benthopelagic","Aioliops tetrophthalmus","Microdesmidae","Gobiiformes","Teleostei","Osteichthyes"
"143",7093,"Akarotaxis","Bathydraconinae",0,1,"demersal","Akarotaxis nudiceps","Bathydraconidae","Perciformes","Teleostei","Osteichthyes"
"144",69495,"Akheilos","Schroederichthyinae",0,1,"pelagic","Akheilos suwartanai","Scyliorhinidae","Carcharhiniformes","Elasmobranchii","Chondrichthyes"
"145",54387,"Akko","Gobiinae",0,1,"demersal","Akko brevis","Gobiidae","Gobiiformes","Teleostei","Osteichthyes"
"146",59851,"Altrichthys","Pomacentrinae",0,1,"benthopelagic","Altrichthys curatus","Pomacentridae","Ovalentaria","Teleostei","Osteichthyes"
"147",4273,"Aluterus",NA,0,1,"demersal","Aluterus heudelotii","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"148",4274,"Aluterus",NA,0,1,"benthopelagic","Aluterus monoceros","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"149",1081,"Aluterus",NA,0,1,"benthopelagic","Aluterus schoepfii","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"150",4275,"Aluterus",NA,0,1,"benthopelagic","Aluterus scriptus","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"151",8105,"Amamiichthys",NA,0,1,"benthopelagic","Amamiichthys matsubarai","Sparidae","Eupercaria","Teleostei","Osteichthyes"
"152",6672,"Amanses",NA,0,1,"benthopelagic","Amanses scopas","Monacanthidae","Tetraodontiformes","Teleostei","Osteichthyes"
"153",4459,"Amarsipus",NA,0,1,"pelagic","Amarsipus carlsbergi","Amarsipidae","Scombriformes","Teleostei","Osteichthyes"
"154",58216,"Ambophthalmos",NA,0,1,"demersal","Ambophthalmos eurystigmatephoros","Psychrolutidae","Perciformes","Teleostei","Osteichthyes"
"155",58288,"Ambophthalmos",NA,0,1,"demersal","Ambophthalmos magnicirrus","Psychrolutidae","Perciformes","Teleostei","Osteichthyes"
"156",4745,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus fowleri","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"157",17471,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus gahhm","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"158",4749,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus grammoptilus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"159",4736,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus guttatus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"160",23375,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus japonicus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"161",4741,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus leucocheilus","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
"162",4737,"Acanthurus","Acanthurinae",0,1,"benthopelagic","Acanthurus leucopareius","Acanthuridae","Acanthuriformes","Teleostei","Osteichthyes"
